Canton (-) / District (>>) / Commune (......);Nationalit? - Total;Suisse;Albanie;Allemagne;France;Royaume-Uni;Italie;Autriche;Portugal;Espagne;Turquie;Kosovo
......2887 Lampenberg;508;482;0;7;1;0;7;1;0;3;1;0
......2888 Langenbruck;992;800;0;58;0;5;11;8;3;1;10;6
......2889 Lauwil;334;313;0;11;0;0;1;2;0;0;0;0
......2890 Liedertswil;164;155;0;3;0;0;4;0;0;0;0;0
......2891 Niederdorf;1758;1372;0;42;6;1;98;4;2;5;43;41
......2892 Oberdorf (BL);2402;1871;0;62;0;4;110;5;1;15;32;69
......2893 Reigoldswil;1596;1426;0;42;2;2;18;4;6;6;1;14
......2894 Titterten;419;386;0;18;0;2;5;1;1;0;0;0
......2895 Waldenburg;1194;856;0;67;1;5;46;5;21;1;13;46
- Schaffhausen;79417;59542;18;5730;174;277;2357;376;632;540;1023;1377
>> Bezirk Oberklettgau;4215;3636;0;245;6;16;77;22;18;14;4;1
......2901 G?chlingen;792;731;0;31;1;2;3;3;0;2;1;0
......2903 L?hningen;1372;1204;0;70;3;11;12;12;2;11;0;1
......2904 Neunkirch;2051;1701;0;144;2;3;62;7;16;1;3;0
>> Bezirk Reiat;8616;6959;2;836;28;39;189;31;23;42;33;54
......2914 B?ttenhardt;350;313;0;26;0;1;0;0;0;0;0;0
......2915 D?rflingen;964;783;2;96;1;7;16;6;2;9;0;9
......2917 Lohn (SH);745;674;0;34;2;6;8;2;2;1;0;1
......2919 Stetten (SH);1327;1051;0;114;11;21;21;7;3;6;0;2
......2920 Thayngen;5230;4138;0;566;14;4;144;16;16;26;33;42
>> Bezirk Schaffhausen;53262;37984;15;3420;119;195;1903;273;502;441;964;1208
......2931 Bargen (SH);283;210;0;46;0;0;11;1;1;3;0;0
......2932 Beringen;4296;3437;3;302;6;26;180;22;35;16;15;34
......2933 Buchberg;827;737;0;43;0;0;6;2;5;1;0;0
......2936 Merishausen;838;728;0;58;0;5;6;7;0;1;5;0
......2937 Neuhausen am Rheinfall;10331;6264;3;704;27;24;494;62;150;86;190;486
......2938 R?dlingen;760;689;0;47;4;2;0;7;1;0;0;0
......2939 Schaffhausen;35927;25919;9;2220;82;138;1206;172;310;334;754;688
>> Bezirk Schleitheim;3024;2653;0;221;2;1;26;4;13;9;0;27
......2951 Beggingen;486;454;0;26;0;0;3;0;0;0;0;0
......2952 Schleitheim;1704;1470;0;125;1;1;21;3;12;2;0;27
......2953 Siblingen;834;729;0;70;1;0;2;1;1;7;0;0
>> Bezirk Stein;5470;4219;1;665;9;12;80;26;54;23;11;66
......2961 Buch (SH);307;227;0;70;0;0;1;4;0;0;0;0
......2962 Hemishofen;455;381;0;49;0;3;6;0;3;2;0;0
......2963 Ramsen;1373;1042;1;231;1;0;15;8;6;3;1;8
......2964 Stein am Rhein;3335;2569;0;315;8;9;58;14;45;18;10;58
>> Bezirk Unterklettgau;4830;4091;0;343;10;14;82;20;22;11;11;21
......2971 Hallau;2090;1748;0;116;5;4;35;10;11;5;6;8
......2972 Oberhallau;436;414;0;9;0;0;0;1;0;0;0;0
......2973 Trasadingen;603;460;0;103;4;1;23;0;4;0;4;0
......2974 Wilchingen;1701;1469;0;115;1;9;24;9;7;6;1;13
- Appenzell Ausserrhoden;54064;45763;7;2520;45;49;917;595;560;238;352;303
>> Bezirk Hinterland;23883;19971;2;846;13;22;555;181;281;138;222;129
......3001 Herisau;15512;12316;2;579;8;19;504;150;251;118;195;121
......3002 Hundwil;989;938;0;16;1;0;4;3;0;0;1;0
......3003 Sch?nengrund;510;479;0;16;0;0;3;2;0;1;0;0
......3004 Schwellbrunn;1477;1364;0;58;0;1;3;6;4;0;0;0
......3005 Stein (AR);1387;1312;0;36;0;1;2;7;2;8;0;0
......3006 Urn?sch;2230;1999;0;89;4;0;11;11;8;7;10;1
......3007 Waldstatt;1778;1563;0;52;0;1;28;2;16;4;16;7
>> Bezirk Mittelland;16775;14603;0;756;22;13;215;169;142;79;78;89
......3021 B?hler;1704;1264;0;68;0;1;62;12;58;15;36;40
......3022 Gais;3081;2676;0;123;8;2;25;41;70;2;7;15
......3023 Speicher;4179;3719;0;169;5;1;50;44;1;16;11;23
......3024 Teufen (AR);6112;5420;0;306;6;8;64;66;11;43;21;11
......3025 Trogen;1699;1524;0;90;3;1;14;6;2;3;3;0
>> Bezirk Vorderland;13406;11189;5;918;10;14;147;245;137;21;52;85
......3031 Grub (AR);1016;900;1;49;0;2;7;13;7;0;8;0
......3032 Heiden;4082;3269;0;236;1;5;62;51;106;8;25;44
......3033 Lutzenberg;1258;1039;0;130;0;2;6;40;0;2;2;2
......3034 Rehetobel;1725;1553;0;114;3;3;10;7;7;3;0;4
......3035 Reute (AR);674;569;0;49;0;1;4;24;0;0;6;0
......3036 Wald (AR);856;773;0;40;1;0;7;2;0;0;3;2
......3037 Walzenhausen;2054;1609;4;205;4;1;40;57;9;6;2;17
......3038 Wolfhalden;1741;1477;0;95;1;0;11;51;8;2;6;16
- Appenzell Innerrhoden;15854;14169;0;389;2;12;124;116;213;76;47;16
>> Kanton Appenzell Innerrhoden;15854;14169;0;389;2;12;124;116;213;76;47;16
......3101 Appenzell;5750;4690;0;149;2;7;67;43;178;53;32;12
......3102 Gonten;1441;1387;0;21;0;1;7;5;0;0;0;0
......3103 R?te;3480;3297;0;71;0;2;8;32;10;1;1;1
......3104 Schlatt-Haslen;1116;1086;0;7;0;0;6;1;1;1;5;3
......3105 Schwende;2167;1966;0;48;0;0;22;10;20;19;9;0
......3111 Oberegg;1900;1743;0;93;0;2;14;25;4;2;0;0
- St. Gallen;495824;380500;57;23603;472;547;13418;7509;5338;2626;4669;9142
>> Wahlkreis St. Gallen;121144;90809;19;6676;157;150;3571;1487;1572;904;1142;2378
......3201 H?ggenschwil;1225;1123;1;33;3;0;10;15;0;0;5;2
......3202 Muolen;1165;1092;0;27;0;1;9;8;7;2;1;0
......3203 St. Gallen;75310;52707;15;5283;129;136;2660;1074;1070;711;791;1787
......3204 Wittenbach;9576;7255;3;390;9;5;274;145;128;70;88;244
......3212 Eggersriet;2246;2036;0;107;1;0;14;20;1;5;1;2
......3441 Andwil (SG);1912;1776;0;42;0;0;14;9;4;2;9;13
......3442 Gaiserwald;8139;7051;0;262;1;4;119;78;12;25;87;144
......3443 Gossau (SG);18053;14530;0;419;14;4;442;123;326;87;158;181
......3444 Waldkirch;3518;3239;0;113;0;0;29;15;24;2;2;5
>> Wahlkreis Rorschach;42124;30824;3;2397;32;33;1736;736;746;310;544;714
......3211 Berg (SG);832;765;0;20;0;0;11;9;2;0;4;2
......3213 Goldach;9210;7026;0;357;5;3;579;129;101;60;93;93
......3214 M?rschwil;3596;3294;0;133;2;2;31;27;3;10;4;12
......3215 Rorschach;9100;4783;2;666;10;9;511;178;458;139;232;350
......3216 Rorschacherberg;7117;5148;1;479;7;5;289;157;118;50;132;55
......3217 Steinach;3471;2650;0;197;3;3;128;57;22;21;50;19
......3218 T?bach;1338;1188;0;42;1;2;33;24;7;5;1;5
......3219 Untereggen;1033;969;0;35;0;0;12;9;0;0;0;1
......3237 Thal;6427;5001;0;468;4;9;142;146;35;25;28;177
>> Wahlkreis Rheintal;70334;51465;13;3587;48;55;1806;2897;226;343;653;1590
......3231 Au (SG);7278;4669;0;434;14;8;341;482;29;53;106;130
......3232 Balgach;4532;3460;1;261;0;3;93;191;5;32;41;71
......3233 Berneck;3894;3171;5;195;3;5;86;155;23;12;12;22
......3234 Diepoldsau;6188;4790;0;295;4;2;168;327;3;18;26;186
......3235 Rheineck;3221;2110;1;121;0;4;250;128;14;18;24;190
......3236 St. Margrethen;5777;3050;1;233;7;1;251;300;25;34;201;278
......3238 Widnau;9220;6678;1;434;7;5;241;481;21;109;106;197
......3251 Altst?tten;11273;8378;0;664;6;4;205;243;49;13;58;173
......3252 Eichberg;1490;1249;0;127;0;0;2;43;0;1;0;10
......3253 Marbach (SG);2137;1744;0;110;0;5;31;54;8;8;15;25
......3254 Oberriet (SG);8630;7349;1;282;7;2;36;228;17;14;13;115
......3255 Rebstein;4471;3064;1;256;0;13;92;164;31;30;49;139
......3256 R?thi (SG);2223;1753;2;175;0;3;10;101;1;1;2;54
>> Wahlkreis Werdenberg;37581;26555;8;2671;69;72;1056;907;456;192;270;740
......3271 Buchs (SG);12187;7735;4;856;39;34;417;304;215;89;119;333
......3272 Gams;3267;2608;0;298;4;11;26;83;21;4;7;20
......3273 Grabs;6901;5709;0;373;8;8;78;146;24;34;11;79
......3274 Sennwald;5194;3702;4;435;6;3;77;179;50;37;62;81
......3275 Sevelen;4813;3052;0;396;1;11;173;114;87;19;50;98
......3276 Wartau;5219;3749;0;313;11;5;285;81;59;9;21;129
>> Wahlkreis Sarganserland;39692;31580;1;1569;27;54;746;365;731;130;231;345
......3291 Bad Ragaz;5705;4083;0;315;8;14;125;77;334;33;5;58
......3292 Flums;4848;3720;0;143;0;8;107;27;58;12;15;93
......3293 Mels;8617;7209;0;201;3;2;195;37;66;14;74;56
......3294 Pf?fers;1556;1353;0;64;0;3;8;38;12;4;0;10
......3295 Quarten;2834;2334;0;131;3;4;26;29;48;7;32;6
......3296 Sargans;6075;4560;1;244;4;3;132;64;81;17;62;35
......3297 Vilters-Wangs;4552;3893;0;182;2;8;38;49;46;6;6;17
......3298 Walenstadt;5505;4428;0;289;7;12;115;44;86;37;37;70
>> Wahlkreis See-Gaster;65148;53741;4;2444;60;100;1670;358;981;247;523;1334
......3311 Amden;1777;1596;0;90;1;6;9;14;4;9;0;1
......3312 Benken (SG);2879;2573;0;69;3;1;19;8;26;2;0;37
......3313 Kaltbrunn;4683;3776;0;182;4;2;139;19;30;9;19;168
......3315 Sch?nis;3715;3291;0;141;1;5;47;30;11;6;13;28
......3316 Weesen;1592;1373;0;77;0;4;13;17;7;0;2;24
......3338 Schmerikon;3574;2718;0;117;1;1;146;29;140;11;67;83
......3339 Uznach;6207;4554;2;199;9;3;225;33;208;15;96;385
......3340 Rapperswil-Jona;26722;21809;2;1008;28;55;868;154;398;170;224;321
......3341 Gommiswald;4973;4382;0;255;5;4;38;17;23;3;3;126
......3342 Eschenbach (SG);9026;7669;0;306;8;19;166;37;134;22;99;161
>> Wahlkreis Toggenburg;45598;38116;3;1584;32;31;721;234;132;130;569;604
......3352 Ebnat-Kappel;5015;4315;0;134;6;3;92;20;12;4;112;68
......3359 Wildhaus-Alt St. Johann;2657;2343;0;135;2;3;6;23;49;6;0;13
......3360 Nesslau;3644;3342;0;107;2;1;29;21;0;2;3;24
......3372 Hemberg;907;848;0;42;0;1;3;1;0;0;0;0
......3374 Lichtensteig;1946;1585;0;77;3;3;54;14;8;6;14;13
......3375 Oberhelfenschwil;1303;1203;0;33;2;0;3;5;0;0;8;5
......3378 Neckertal;4000;3638;0;153;2;5;32;26;6;13;8;13
......3379 Wattwil;8536;6538;2;282;5;8;241;40;12;40;184;151
......3392 Kirchberg (SG);8721;6380;0;383;10;4;183;62;37;26;183;217
......3393 L?tisburg;1439;1266;0;56;0;1;5;8;5;2;3;4
......3394 Mosnang;2827;2702;0;71;0;1;8;6;2;0;2;0
......3395 B?tschwil-Ganterschwil;4603;3956;1;111;0;1;65;8;1;31;52;96
>> Wahlkreis Wil;74203;57410;6;2675;47;52;2112;525;494;370;737;1437
......3401 Degersheim;3941;3249;0;160;2;3;101;29;8;32;15;76
......3402 Flawil;10323;7359;0;354;2;7;468;59;211;112;134;168
......3405 Jonschwil;3762;3308;1;104;2;4;69;24;19;12;6;35
......3407 Oberuzwil;6265;5097;2;223;2;5;130;32;16;34;58;120
......3408 Uzwil;12695;9153;1;437;7;3;377;88;66;45;217;415
......3422 Niederb?ren;1515;1376;0;42;2;1;17;5;4;4;2;0
......3423 Niederhelfenschwil;2954;2789;0;67;0;0;11;15;2;2;0;0
......3424 Oberb?ren;4250;3758;0;104;0;5;51;21;5;5;27;13
......3426 Zuzwil (SG);4783;4208;0;150;0;2;89;36;40;14;16;29
......3427 Wil (SG);23715;17113;2;1034;30;22;799;216;123;110;262;581
- Graub?nden / Grigioni / Grischun;195886;160497;5;7690;181;301;6121;1334;9521;624;521;629
>> Bezirk Albula;8177;6748;0;405;8;7;157;48;554;26;1;5
......3501 Alvaschein;134;123;0;3;0;0;2;0;5;0;0;0
......3502 Mon;79;76;0;3;0;0;0;0;0;0;0;0
......3503 Mutten;75;73;0;2;0;0;0;0;0;0;0;0
......3504 Stierva;135;123;0;10;0;0;0;2;0;0;0;0
......3505 Tiefencastel;247;197;0;10;0;1;4;0;25;0;0;0
......3506 Vaz/Obervaz;2694;2110;0;169;5;2;38;18;251;6;0;5
......3511 Alvaneu;400;337;0;18;0;0;2;1;31;0;0;0
......3512 Brienz/Brinzauls;124;112;0;7;0;2;0;2;0;0;0;0
......3513 Lantsch/Lenz;512;434;0;11;2;1;7;3;32;0;0;0
......3514 Schmitten (GR);253;214;0;16;0;0;2;1;10;0;0;0
......3515 Surava;203;178;0;5;0;0;2;1;9;0;0;0
......3521 Berg?n/Bravuogn;457;394;0;19;0;0;21;2;13;0;0;0
......3522 Filisur;439;362;0;16;0;0;21;1;30;2;0;0
......3531 Bivio;189;142;0;6;0;0;11;1;23;0;0;0
......3532 Cunter;256;176;0;21;0;0;7;4;36;1;0;0
......3533 Marmorera;31;30;0;0;0;0;0;0;0;0;0;0
......3534 Mulegns;25;25;0;0;0;0;0;0;0;0;0;0
......3536 Riom-Parsonz;304;293;0;7;0;0;3;0;0;0;0;0
......3538 Salouf;216;204;0;5;0;0;2;1;0;4;0;0
......3539 Savognin;1016;838;0;44;1;1;25;11;62;9;1;0
......3540 Sur;68;56;0;6;0;0;1;0;3;2;0;0
......3541 Tinizong-Rona;320;251;0;27;0;0;9;0;24;2;0;0
>> Distretto di Bernina;4652;4231;0;16;0;0;265;3;91;2;0;0
......3551 Brusio;1130;1017;0;2;0;0;90;1;11;2;0;0
......3561 Poschiavo;3522;3214;0;14;0;0;175;2;80;0;0;0
>> Bezirk Hinterrhein;13171;11244;0;367;2;5;211;53;634;23;15;46
......3631 Almens;225;218;0;3;0;1;1;0;0;0;0;0
......3633 F?rstenau;362;332;0;14;0;0;3;7;0;0;0;0
......3634 Paspels;498;482;0;5;0;0;4;1;0;0;0;0
......3635 Pratval;241;238;0;1;0;0;0;1;0;0;0;0
......3636 Rodels;269;254;0;3;0;0;1;3;1;0;4;0
......3637 Rothenbrunnen;309;270;0;8;0;0;7;2;11;1;0;0
......3638 Scharans;830;790;0;27;0;0;3;3;3;0;0;0
......3640 Sils im Domleschg;924;773;0;35;0;0;13;7;52;1;1;10
......3661 Cazis;2144;1801;0;78;0;1;39;10;70;4;1;9
......3662 Flerden;223;216;0;5;0;0;0;1;0;0;0;0
......3663 Masein;475;460;0;6;0;0;2;0;0;0;0;0
......3668 Thusis;2994;2056;0;68;1;1;103;8;395;17;5;24
......3669 Tschappina;128;121;0;6;0;0;0;0;0;0;0;0
......3670 Urmein;135;125;0;9;0;0;0;0;0;0;0;0
......3671 Tomils;706;675;0;18;0;0;5;4;1;0;0;0
......3681 Avers;167;157;0;4;0;1;1;1;2;0;0;0
......3691 Hinterrhein;65;64;0;1;0;0;0;0;0;0;0;0
......3693 Nufenen;157;142;0;0;0;0;1;0;14;0;0;0
......3694 Spl?gen;384;333;0;14;0;0;7;0;16;0;0;0
......3695 Sufers;128;125;0;0;0;0;1;0;2;0;0;0
......3701 Andeer;903;789;0;29;0;1;7;5;44;0;4;2
......3703 Casti-Wergenstein;51;47;0;2;0;0;2;0;0;0;0;0
......3705 Donat;206;204;0;0;0;0;2;0;0;0;0;0
......3707 Lohn (GR);41;41;0;0;0;0;0;0;0;0;0;0
......3708 Mathon;51;46;0;4;0;0;1;0;0;0;0;0
......3711 Rongellen;57;50;0;1;1;0;0;0;3;0;0;0
......3712 Zillis-Reischen;410;354;0;20;0;0;8;0;20;0;0;1
......3713 Ferrera;88;81;0;6;0;0;0;0;0;0;0;0
>> Bezirk Imboden;19781;16232;2;840;12;21;625;117;852;42;38;127
......3721 Bonaduz;3097;2680;0;196;1;1;43;19;64;7;1;20
......3722 Domat/Ems;7745;6050;1;237;0;5;429;49;353;17;29;71
......3723 Rh?z?ns;1371;1132;0;36;1;0;47;4;89;4;2;19
......3731 Felsberg;2422;2142;0;109;4;0;46;11;28;2;0;12
......3732 Flims;2644;2096;0;143;4;12;22;17;200;10;5;5
......3733 Tamins;1226;1044;1;72;2;1;20;4;30;2;1;0
......3734 Trin;1276;1088;0;47;0;2;18;13;88;0;0;0
>> Bezirk Inn;9426;7785;0;378;11;9;219;122;654;8;2;9
......3741 Ardez;427;389;0;14;0;0;6;1;11;0;0;0
......3742 Guarda;155;138;0;13;0;0;1;1;2;0;0;0
......3743 Lavin;221;202;0;3;1;1;1;0;10;0;0;0
......3744 Susch;206;161;0;7;0;0;4;1;29;0;0;0
......3745 Tarasp;337;226;0;34;3;0;7;4;49;2;0;0
......3746 Zernez;1139;918;0;21;0;1;27;7;139;4;0;2
......3752 Samnaun;776;609;0;36;3;0;11;60;37;0;0;0
......3761 Ftan;492;438;0;35;0;0;5;3;0;2;1;0
......3762 Scuol;2351;1687;0;130;4;5;74;34;320;0;1;2
......3763 Sent;881;774;0;27;0;1;22;1;28;0;0;5
......3764 Valsot;908;822;0;28;0;1;16;8;14;0;0;0
......3847 Val M?stair;1533;1421;0;30;0;0;45;2;15;0;0;0
>> Bezirk Landquart;25224;21789;1;846;14;25;442;160;471;59;85;105
......3941 Haldenstein;1036;915;0;38;3;0;14;3;13;10;0;8
......3945 Trimmis;3072;2815;1;80;1;1;50;16;43;6;3;5
......3946 Untervaz;2430;2171;0;75;0;1;53;24;13;3;1;1
......3947 Zizers;3320;2842;0;109;1;2;73;17;82;8;3;25
......3951 Fl?sch;719;661;0;29;0;4;5;10;5;0;0;0
......3952 Jenins;909;811;0;56;2;3;4;4;3;11;0;0
......3953 Maienfeld;2740;2437;0;116;0;6;19;23;56;2;1;1
......3954 Malans;2306;2113;0;110;1;1;18;12;10;2;0;2
......3955 Landquart;8692;7024;0;233;6;7;206;51;246;17;77;63
>> Bezirk Maloja / Distretto di Maloggia;18853;12845;1;1109;50;94;1524;181;2218;59;6;17
......3781 Bever;620;524;0;28;0;1;26;5;14;1;0;1
......3782 Celerina/Schlarigna;1504;981;0;85;5;8;188;27;180;3;0;0
......3783 Madulain;232;157;0;13;0;0;26;4;30;1;0;0
......3784 Pontresina;2161;1420;0;129;3;3;114;12;373;5;1;9
......3785 La Punt-Chamues-ch;752;538;0;37;0;10;47;3;92;7;0;0
......3786 Samedan;3014;2280;0;189;0;4;171;20;240;6;0;3
......3787 St. Moritz;5233;3039;0;352;28;43;586;73;795;19;2;2
......3788 S-chanf;715;604;0;18;1;4;15;8;52;0;0;0
......3789 Sils im Engadin/Segl;768;472;0;43;4;1;51;5;153;2;2;0
......3790 Silvaplana;1067;709;0;79;4;1;131;8;85;5;0;2
......3791 Zuoz;1244;784;1;103;5;18;88;9;146;5;1;0
......3792 Bregaglia;1543;1337;0;33;0;1;81;7;58;5;0;0
>> Distretto di Moesa;8338;6630;0;47;8;8;883;6;408;59;34;18
......3801 Arvigo;72;45;0;0;0;2;21;0;0;2;0;0
......3803 Braggio;50;45;0;2;0;0;2;0;0;0;0;0
......3804 Buseno;90;84;0;0;0;0;1;1;3;0;0;0
......3805 Castaneda;265;232;0;10;0;0;15;0;0;5;0;0
......3806 Cauco;36;34;0;0;0;0;1;0;0;0;0;0
......3808 Rossa;139;125;0;0;0;0;14;0;0;0;0;0
......3810 Santa Maria in Calanca;110;99;0;2;0;0;7;0;0;0;0;0
......3811 Selma;29;28;0;0;0;0;1;0;0;0;0;0
......3821 Lostallo;762;636;0;4;0;0;63;3;41;1;1;0
......3822 Mesocco;1308;1064;0;10;1;0;139;0;50;2;0;4
......3823 Soazza;353;286;0;1;0;0;55;1;3;0;0;0
......3831 Cama;573;458;0;0;0;0;61;0;27;1;1;0
......3832 Grono;1016;688;0;4;2;4;152;0;88;30;15;2
......3833 Leggia;137;125;0;0;0;0;3;0;6;1;0;0
......3834 Roveredo (GR);2478;1936;0;6;2;1;238;1;167;15;17;12
......3835 San Vittore;754;606;0;5;0;1;92;0;23;1;0;0
......3836 Verdabbio;166;139;0;3;3;0;18;0;0;1;0;0
>> Bezirk Plessur;40673;32850;1;1578;28;34;1196;312;1476;263;268;216
......3901 Chur;34547;27913;1;1162;19;16;1119;264;1228;244;219;207
......3911 Churwalden;2067;1653;0;129;1;2;26;8;49;11;47;9
......3921 Arosa;3247;2531;0;254;7;15;41;34;198;8;2;0
......3926 Maladers;506;469;0;21;0;0;7;2;1;0;0;0
......3932 Tschiertschen-Praden;306;284;0;12;1;1;3;4;0;0;0;0
>> Bezirk Pr?ttigau-Davos;26312;21259;0;1418;38;78;457;255;1222;65;44;48
......3851 Davos;11136;8131;0;829;19;37;332;132;753;48;6;12
......3861 Fideris;587;545;0;19;1;1;3;4;8;0;0;0
......3862 Furna;204;196;0;1;0;0;0;0;0;0;0;0
......3863 Jenaz;1184;1076;0;37;2;1;11;8;22;0;2;0
......3871 Klosters-Serneus;3841;2986;0;241;13;39;41;41;290;9;5;12
......3881 Conters im Pr?ttigau;209;199;0;7;0;0;0;0;0;0;0;0
......3882 K?blis;838;691;0;22;1;0;15;4;56;3;0;0
......3883 Saas;749;687;0;24;0;0;1;3;17;1;0;0
......3891 Luzein;1228;1132;0;35;0;0;12;22;11;1;0;0
......3893 St. Ant?nien;337;322;0;5;0;0;1;1;0;0;0;0
......3961 Gr?sch;1975;1831;0;52;0;0;12;8;4;1;10;0
......3962 Schiers;2639;2212;0;93;2;0;24;20;49;0;21;24
......3972 Seewis im Pr?ttigau;1385;1251;0;53;0;0;5;12;12;2;0;0
>> Bezirk Surselva;21279;18884;0;686;10;20;142;77;941;18;28;38
......3572 Falera;593;513;0;8;1;0;6;3;55;0;0;0
......3575 Laax;1566;1280;0;127;1;5;16;11;84;3;1;3
......3581 Sagogn;673;603;0;40;0;0;3;6;10;0;0;0
......3582 Schluein;563;456;0;21;0;2;1;3;44;0;0;1
......3598 St. Martin;42;40;0;0;0;0;0;1;0;0;0;0
......3603 Vals;966;804;0;48;2;0;1;6;87;1;1;1
......3611 Andiast;196;176;0;4;0;0;0;0;15;0;0;0
......3612 Obersaxen;838;761;0;18;2;0;1;1;38;0;4;0
......3616 Waltensburg/Vuorz;343;317;0;15;0;0;1;0;1;0;0;0
......3617 Mundaun;301;273;0;16;0;1;2;2;3;0;0;0
......3618 Lumnezia;2078;2001;0;14;2;1;2;3;35;0;0;6
......3619 Ilanz/Glion;4687;3994;0;202;0;5;56;21;204;9;12;25
......3672 Safiental;895;844;0;29;1;0;1;7;6;0;0;0
......3981 Breil/Brigels;1278;1193;0;31;1;1;2;2;31;0;0;0
......3982 Disentis/Must?r;2058;1789;0;39;0;3;8;2;161;2;9;0
......3983 Medel (Lucmagn);398;391;0;6;0;0;0;0;0;0;0;0
......3985 Sumvitg;1240;1172;0;14;0;0;9;2;36;0;0;0
......3986 Tujetsch;1359;1169;0;46;0;2;7;5;99;2;0;1
......3987 Trun;1205;1108;0;8;0;0;26;2;32;1;1;1
- Aargau;645277;491344;107;32784;1243;1477;25706;3244;8124;3364;10323;16530
>> Bezirk Aarau;74350;57513;10;2985;103;95;2689;388;482;386;1660;1725
......4001 Aarau;20445;16376;4;820;32;32;512;94;129;146;260;359
......4002 Biberstein;1486;1343;0;62;1;0;19;9;7;3;4;4
......4003 Buchs (AG);7614;5131;2;399;4;17;396;43;111;63;297;155
......4004 Densb?ren;682;612;0;30;0;0;0;0;0;0;1;4
......4005 Erlinsbach (AG);3932;3303;0;155;11;3;99;14;15;11;21;46
......4006 Gr?nichen;7257;5747;4;279;17;4;351;27;27;23;144;227
......4007 Hirschthal;1543;1378;0;60;0;1;23;7;1;4;24;19
......4008 K?ttigen;5979;5083;0;278;10;6;118;24;36;12;35;89
......4009 Muhen;3785;3280;0;90;1;5;180;19;11;12;20;62
......4010 Oberentfelden;7775;5480;0;231;6;13;357;48;64;29;274;345
......4012 Suhr;9787;6707;0;391;13;7;420;81;54;72;486;285
......4013 Unterentfelden;4065;3073;0;190;8;7;214;22;27;11;94;130
>> Bezirk Baden;138320;99316;32;7105;506;584;6919;1003;2041;947;2039;3199
......4021 Baden;18670;13633;4;1244;132;133;713;150;177;167;128;174
......4022 Bellikon;1541;1409;0;72;0;1;7;2;6;5;1;1
......4023 Bergdietikon;2652;2209;0;180;9;19;78;18;22;7;16;1
......4024 Birmenstorf (AG);2904;2333;0;177;12;2;71;22;50;18;10;18
......4026 Ennetbaden;3302;2559;0;257;28;39;59;36;19;30;6;16
......4027 Fislisbach;5568;4152;0;287;23;15;314;36;53;45;119;117
......4028 Freienwil;970;827;0;71;1;22;11;1;6;2;0;5
......4029 Gebenstorf;4911;3525;0;247;8;25;283;35;58;30;102;127
......4030 Killwangen;1929;1418;1;83;14;9;127;21;20;8;36;39
......4031 K?nten;1685;1422;1;68;3;4;37;10;12;3;24;34
......4032 M?genwil;2078;1654;0;81;10;12;45;7;27;4;30;51
......4033 Mellingen;5150;3535;0;302;30;28;239;35;73;31;77;183
......4034 Neuenhof;8603;4547;0;322;17;15;976;62;167;106;321;422
......4035 Niederrohrdorf;3622;2982;0;206;3;7;101;27;40;5;24;37
......4037 Oberrohrdorf;4000;3300;0;242;10;9;66;34;51;25;31;36
......4038 Obersiggenthal;8637;5819;0;534;36;37;277;86;115;58;138;123
......4039 Remetschwil;2040;1751;0;119;1;11;44;7;4;7;3;24
......4040 Spreitenbach;11040;5386;9;389;16;14;931;99;415;114;462;812
......4041 Stetten (AG);2013;1585;0;137;5;11;57;9;51;9;3;54
......4042 Turgi;2962;1849;1;156;10;4;221;23;67;19;72;87
......4044 Untersiggenthal;7104;5038;0;339;10;13;304;54;155;18;102;240
......4045 Wettingen;20221;14815;11;805;77;73;1356;149;276;161;283;334
......4046 Wohlenschwil;1482;1260;0;56;7;5;24;9;17;0;3;9
......4047 W?renlingen;4452;3346;1;247;9;16;175;20;82;17;18;190
......4048 W?renlos;6068;5077;4;195;17;22;264;27;59;40;18;34
......4049 Ehrendingen;4716;3885;0;289;18;38;139;24;19;18;12;31
>> Bezirk Bremgarten;73796;56772;7;3667;93;143;3386;363;1075;445;892;1946
......4061 Arni (AG);1871;1628;0;96;5;10;21;10;3;1;2;6
......4062 Berikon;4553;3778;0;246;9;10;124;17;47;23;7;49
......4063 Bremgarten (AG);7755;6120;3;428;9;13;161;50;120;87;98;166
......4064 B?ttikon;987;810;0;80;1;1;23;12;3;8;0;10
......4065 Dottikon;3861;2525;1;213;9;2;382;14;67;16;153;94
......4066 Eggenwil;937;766;0;73;0;3;16;6;16;7;4;13
......4067 Fischbach-G?slikon;1580;1397;1;56;0;1;30;11;8;2;5;23
......4068 H?gglingen;2352;2061;0;101;2;0;43;7;10;6;18;37
......4071 Jonen;1959;1711;0;105;0;2;25;7;16;10;0;1
......4072 Niederwil (AG);2651;2226;0;128;4;14;57;22;14;6;5;58
......4073 Oberlunkhofen;1931;1694;0;109;3;8;23;8;18;4;0;11
......4074 Oberwil-Lieli;2222;1969;0;131;2;9;22;9;4;5;1;12
......4075 Rudolfstetten-Friedlisberg;4407;3302;0;282;9;7;195;24;88;31;21;98
......4076 Sarmenstorf;2767;2401;0;135;3;2;72;12;9;7;12;23
......4077 T?gerig;1427;1210;0;75;1;1;41;7;10;4;7;0
......4078 Uezwil;456;412;0;18;2;7;1;1;1;5;2;0
......4079 Unterlunkhofen;1291;1147;0;61;2;3;20;7;6;2;1;2
......4080 Villmergen;6846;4901;0;240;2;8;538;32;181;21;124;265
......4081 Widen;3504;3019;0;160;7;8;68;27;20;15;8;23
